material_id,formula,utility_tier,stage1_score,stage1_xgb_eV,stage2_xgb_eV,stage2_gnn_eV,disagreement_eV,agreement_class,finite_gap_consensus
mp-1209229,RbHoBeF6,Tier 2 (Exotic),7.400696277618408,7.4006963,7.400696277618408,7.326879501342773,-0.07381677627563477,agree,True
mp-1220948,NaPrF4,Tier 2 (Exotic),7.008853912353516,7.008854,7.008853912353516,6.919483661651611,-0.0893702507019043,agree,True
mp-1185301,LiF,Tier 1 (Standard),6.996624386503054,7.5493636,7.549363613128662,6.990076541900635,-0.5592870712280273,mild,True
mp-640562,KYb3F10,Tier 2 (Exotic),6.941380500793457,6.9413805,6.941380500793457,6.058586597442627,-0.8827939033508301,mild,True
mp-1220915,NaSmF4,Tier 2 (Exotic),6.8355488777160645,6.835549,6.8355488777160645,7.0034050941467285,0.16785621643066406,agree,True
mp-1206981,BaYb2F8,Tier 2 (Exotic),6.611327648162842,6.6113276,6.611327648162842,7.138264179229736,0.5269365310668945,mild,True
mp-1208619,SrLiGaF6,Tier 1 (Standard),6.394299030303955,6.394299,6.394299030303955,6.149119853973389,-0.2451791763305664,agree,True
mp-1196923,Li2TbF6,Tier 2 (Exotic),6.063042249686406,6.357351,6.357350826263428,7.470932960510254,1.1135821342468262,strong,True
mp-989568,Cs2NaMgF6,Tier 1 (Standard),5.989856719970703,5.9898567,5.989856719970703,6.463082313537598,0.47322559356689453,mild,True
mp-22072,YbF3,Tier 2 (Exotic),5.974184989929199,5.974185,5.974184989929199,6.9577155113220215,0.9835305213928223,mild,True
mp-1205802,Rb2NaYbF6,Tier 2 (Exotic),5.966386318206787,5.9663863,5.966386318206787,6.32008171081543,0.3536953926086426,mild,True
mp-1227394,Be2BH3O5,Tier 1 (Standard),5.808071318552447,5.809689,5.809689044952393,5.511647701263428,-0.29804134368896484,agree,True
mp-989572,Cs2NaCaF6,Tier 1 (Standard),5.73362688212046,5.909048,5.909048080444336,6.524552822113037,0.6155047416687012,mild,True
mp-505089,Li4TbF8,Tier 2 (Exotic),5.7278759815764735,5.9424896,5.9424896240234375,7.388926982879639,1.4464373588562012,strong,True
mp-1220684,NaYbF4,Tier 2 (Exotic),5.720854759216309,5.7208548,5.720854759216309,6.0980753898620605,0.37722063064575195,mild,True
mp-1213968,CaMgPO4F,Tier 1 (Standard),5.703257220944278,5.735632,5.735631942749023,5.373701572418213,-0.36193037033081055,mild,True
mp-530217,PrZr3F15,Tier 2 (Exotic),5.651579463128169,5.782828,5.782827854156494,5.517154216766357,-0.2656736373901367,agree,True
mp-1182442,BO2F3,Tier 1 (Standard),5.48840856552124,5.4884086,5.48840856552124,2.786625862121582,-2.701782703399658,strong,True
mp-989574,Cs2NaSrF6,Tier 1 (Standard),5.381081093135937,5.803987,5.8039870262146,6.362287998199463,0.5583009719848633,mild,True
mp-4179,YbPO4,Tier 2 (Exotic),5.292995929718018,5.292996,5.292995929718018,5.35891056060791,0.06591463088989258,agree,True
mp-1211100,LiB3H8,Tier 1 (Standard),5.192642961855779,5.67733,5.677330017089844,6.108738422393799,0.4314084053039551,mild,True
mp-1199626,Sr3Al2P(O2F5)2,Tier 1 (Standard),5.16374928954756,5.7817206,5.7817206382751465,5.742984771728516,-0.03873586654663086,agree,True
mp-5364,YbBO3,Tier 2 (Exotic),5.154685974121094,5.154686,5.154685974121094,5.25206995010376,0.09738397598266602,agree,True
mp-1203903,Cs4Sr3(PO3)12,Tier 1 (Standard),5.030674934387207,5.030675,5.030674934387207,5.299553871154785,0.2688789367675781,agree,True
mp-27187,Be2TlF5,Tier 1 (Standard),4.982769966125488,4.98277,4.982769966125488,5.270519733428955,0.2877497673034668,agree,True
mp-561480,NaNiF3,Tier 1 (Standard),4.971905708312988,4.9719057,4.971905708312988,4.7491774559021,-0.22272825241088867,agree,True
mp-567172,Cs2NaYbCl6,Tier 2 (Exotic),4.891602039337158,4.891602,4.891602039337158,4.924681186676025,0.03307914733886719,agree,True
mp-546292,YbClO,Tier 2 (Exotic),4.8798136711120605,4.8798137,4.8798136711120605,5.545341968536377,0.6655282974243164,mild,True
mp-1206442,Cs2KYbCl6,Tier 2 (Exotic),4.873124599456787,4.8731246,4.873124599456787,4.896495342254639,0.023370742797851562,agree,True
mp-1213746,Cs2YbCl5,Tier 2 (Exotic),4.859178066253662,4.859178,4.859178066253662,4.871532917022705,0.012354850769042969,agree,True
mp-1223512,KMg3AlSi3(O5F)2,Tier 1 (Standard),4.811132907867432,4.811133,4.811132907867432,4.8672285079956055,0.05609560012817383,agree,True
mp-1223564,KMg3AlSi3(HO6)2,Tier 1 (Standard),4.699141025543213,4.699141,4.699141025543213,4.4929890632629395,-0.20615196228027344,agree,True
mp-1209118,RbYb(WO4)2,Tier 3 (Refractory),4.694922924041748,4.694923,4.694922924041748,4.668625831604004,-0.02629709243774414,agree,True
mp-560976,KNiF3,Tier 1 (Standard),4.647579669952393,4.6475797,4.647579669952393,4.104464054107666,-0.5431156158447266,mild,True
mp-1188713,BaMg(CO3)2,Tier 1 (Standard),4.617570632298311,4.7191157,4.719115734100342,4.4550604820251465,-0.2640552520751953,agree,True
mp-1205808,Rb2LiYbCl6,Tier 2 (Exotic),4.592598915100098,4.592599,4.592598915100098,4.816948413848877,0.2243494987487793,agree,True
mp-4300,Yb2Si2O7,Tier 2 (Exotic),4.585002899169922,4.585003,4.585002899169922,3.887939214706421,-0.697063684463501,mild,True
mp-1223547,KMg3GaSi3(HO6)2,Tier 1 (Standard),4.574230670928955,4.5742307,4.574230670928955,4.185144901275635,-0.3890857696533203,mild,True
mp-622591,BaTbF6,Tier 2 (Exotic),4.550881357939852,4.892556,4.892556190490723,6.321406364440918,1.4288501739501953,strong,True
mp-728486,Ca9Mg(PO4)7,Tier 1 (Standard),4.541069629487144,4.658208,4.658207893371582,4.79906702041626,0.14085912704467773,agree,True
mp-1227900,BaLiMg2AlSi3(O5F)2,Tier 1 (Standard),4.490519179919569,4.7143545,4.714354515075684,5.075455188751221,0.3611006736755371,mild,True
mp-1224221,K7Be12(PO4)12,Tier 1 (Standard),4.485496792983275,4.756352,4.756351947784424,5.554741382598877,0.7983894348144531,mild,True
mp-556324,NiF2,Tier 1 (Standard),4.454332803464245,4.464553,4.464552879333496,3.243619918823242,-1.220932960510254,strong,True
mp-1227120,CaH2CO4,Tier 1 (Standard),4.437922019532252,4.8262296,4.826229572296143,4.909966945648193,0.08373737335205078,agree,True
mp-561000,Cs4KLiFe2F12,Tier 1 (Standard),4.409614086151123,4.409614,4.409614086151123,3.9208788871765137,-0.4887351989746094,mild,True
mp-560058,Li9Ga3P8O29,Tier 1 (Standard),4.358852847299753,4.5295773,4.529577255249023,4.446115970611572,-0.08346128463745117,agree,True
mp-1211975,K2B(PO4)2,Tier 1 (Standard),4.325653033321243,4.6317096,4.631709575653076,5.36846399307251,0.7367544174194336,mild,True
mp-1211338,KTm(CO3)2,Tier 2 (Exotic),4.279687881469727,4.279688,4.279687881469727,4.021855354309082,-0.25783252716064453,agree,True
mp-1207345,Cs2PrF6,Tier 2 (Exotic),4.260595823361204,4.618681,4.618680953979492,6.510811805725098,1.8921308517456055,strong,True
mp-2745558,Na3P6N11,Tier 1 (Standard),4.252732753753662,4.2527328,4.252732753753662,3.9858438968658447,-0.2668888568878174,agree,True
